Model Type,Layers,Units per 1 layer,Epochs,Batch Size,Training Loss,Validation Loss,Time Taken (s)
LSTM,2,50,25,32,0.0050661503337323666,0.003402197500690818,16.652138710021973
LSTM,2,50,25,64,0.0056293378584086895,0.00508136348798871,12.519035577774048
LSTM,2,50,50,32,0.0028241814579814672,0.0029576916713267565,38.77294397354126
LSTM,2,50,50,64,0.004748552106320858,0.0043378365226089954,30.300041675567627
LSTM,2,100,25,32,0.004360143095254898,0.004760207608342171,38.62087416648865
LSTM,2,100,25,64,0.004814840387552977,0.003333363216370344,48.01776480674744
LSTM,2,100,50,32,0.002739496761932969,0.0031986995600163937,74.11413717269897
LSTM,2,100,50,64,0.00494320597499609,0.003166177310049534,63.70536422729492
LSTM,2,150,25,32,0.005182722117751837,0.0036195788998156786,68.13028764724731
LSTM,2,150,25,64,0.004684902261942625,0.0031941798515617847,49.74247694015503
LSTM,2,150,50,32,0.003629488404840231,0.00658379914239049,145.7164294719696
LSTM,2,150,50,64,0.004580810200423002,0.003316691378131509,93.91981339454651
LSTM,3,50,25,32,0.0050135585479438305,0.00508935796096921,31.010822534561157
LSTM,3,50,25,64,0.0050263479351997375,0.003360586706548929,25.067179679870605
LSTM,3,50,50,32,0.002996206283569336,0.004640330094844103,56.62285017967224
LSTM,3,50,50,64,0.004870351403951645,0.004937166813760996,47.26439595222473
LSTM,3,100,25,32,0.004433656111359596,0.0031711170449852943,61.47998046875
LSTM,3,100,25,64,0.005744611844420433,0.006213880144059658,55.619054317474365
LSTM,3,100,50,32,0.0030158222652971745,0.0049970136024057865,118.72192168235779
LSTM,3,100,50,64,0.0037666340358555317,0.007669443730264902,107.62674975395203
LSTM,3,150,25,32,0.004749065265059471,0.003274570219218731,315.14851665496826
LSTM,3,150,25,64,0.005069702863693237,0.0038949456065893173,83.22845029830933
LSTM,3,150,50,32,0.002414023969322443,0.003141123102977872,256.94857144355774
LSTM,3,150,50,64,0.0034441694151610136,0.007027443964034319,167.14186596870422
LSTM,4,50,25,32,0.005308160558342934,0.003653602907434106,40.976237058639526
LSTM,4,50,25,64,0.005361706018447876,0.003659374313428998,35.40360498428345
LSTM,4,50,50,32,0.0032923247199505568,0.003031538799405098,76.92744159698486
LSTM,4,50,50,64,0.00439246091991663,0.0032079098746180534,63.48035383224487
LSTM,4,100,25,32,0.004200445953756571,0.003637399524450302,82.8579933643341
LSTM,4,100,25,64,0.004848712123930454,0.0034971022978425026,76.5631628036499
LSTM,4,100,50,32,0.0036289289128035307,0.005600589793175459,174.91538310050964
LSTM,4,100,50,64,0.003608066588640213,0.0034154728055000305,154.85546469688416
LSTM,4,150,25,32,0.00538724847137928,0.005725401919335127,197.72541213035583
LSTM,4,150,25,64,0.005015183240175247,0.00424722395837307,149.8652629852295
LSTM,4,150,50,32,0.002715037204325199,0.005416816100478172,383.5392713546753
LSTM,4,150,50,64,0.0030950659420341253,0.002645669737830758,308.2911217212677
GRU,2,50,25,32,0.005019147880375385,0.0026215368416160345,22.39639401435852
GRU,2,50,25,64,0.029919037595391273,0.014877738431096077,14.644507884979248
GRU,2,50,50,32,0.0060066478326916695,0.006418813019990921,40.616339921951294
GRU,2,50,50,64,0.004970892798155546,0.003288138657808304,25.767282724380493
GRU,2,100,25,32,0.0036657233722507954,0.0033662207424640656,35.35908031463623
GRU,2,100,25,64,0.005527039524167776,0.003884133417159319,31.68603253364563
GRU,2,100,50,32,0.004096287302672863,0.0049678729847073555,70.5980396270752
GRU,2,100,50,64,0.003439955413341522,0.0035172246862202883,58.61297965049744
GRU,2,150,25,32,0.009009167551994324,0.010361128486692905,79.84501028060913
GRU,2,150,25,64,0.004843949340283871,0.004532057326287031,48.415932178497314
GRU,2,150,50,32,0.0044127777218818665,0.005126484669744968,140.5773847103119
GRU,2,150,50,64,0.0029409530106931925,0.0034628340508788824,86.37146544456482
GRU,3,50,25,32,0.00467283558100462,0.0037187645211815834,32.355432987213135
GRU,3,50,25,64,0.028856949880719185,0.013859902508556843,21.242260217666626
GRU,3,50,50,32,0.0028295915108174086,0.002542800735682249,60.24530029296875
GRU,3,50,50,64,0.004055737983435392,0.00272435718216002,38.33153009414673
GRU,3,100,25,32,0.003305791411548853,0.002902160631492734,56.35246014595032
GRU,3,100,25,64,0.0050352769903838634,0.003003183286637068,53.760122537612915
GRU,3,100,50,32,0.00238310219720006,0.0021726384293287992,104.83207821846008
GRU,3,100,50,64,0.002940644044429064,0.002555474638938904,102.00536847114563
GRU,3,150,25,32,0.003326960140839219,0.002415791153907776,143.97242665290833
GRU,3,150,25,64,0.005141821689903736,0.0023905273992568254,76.4439468383789
GRU,3,150,50,32,0.002991242567077279,0.0041280994191765785,275.5208466053009
GRU,3,150,50,64,0.0034330126363784075,0.003336096415296197,153.27881932258606
GRU,4,50,25,32,0.004357129335403442,0.002899718238040805,47.81631302833557
GRU,4,50,25,64,0.0284558217972517,0.007876618765294552,29.295199394226074
GRU,4,50,50,32,0.00544513575732708,0.007193202152848244,83.54757380485535
GRU,4,50,50,64,0.004337364342063665,0.004052869975566864,53.383323192596436
GRU,4,100,25,32,0.007596224546432495,0.008013453334569931,75.28342056274414
GRU,4,100,25,64,0.0058830613270401955,0.0032368414103984833,76.11586809158325
GRU,4,100,50,32,0.0015760700916871428,0.0013983402168378234,144.5843367576599
GRU,4,100,50,64,0.0030102524906396866,0.003046160563826561,146.52430272102356
GRU,4,150,25,32,0.004396914504468441,0.005269981455057859,226.34777688980103
GRU,4,150,25,64,0.004528386052697897,0.0036730889696627855,123.62330174446106
GRU,4,150,50,32,0.002274841070175171,0.002334988210350275,443.9973056316376
GRU,4,150,50,64,0.005445960909128189,0.009964685887098312,265.38520073890686
BiLSTM,2,50,25,32,0.006212729029357433,0.008406597189605236,34.42167377471924
BiLSTM,2,50,25,64,0.004773567896336317,0.004703282844275236,29.610417366027832
BiLSTM,2,50,50,32,0.0036466126330196857,0.0035834817681461573,58.457825899124146
BiLSTM,2,50,50,64,0.0031274924986064434,0.005658128764480352,52.494457721710205
BiLSTM,2,100,25,32,0.0032537125516682863,0.0032421117648482323,71.12984919548035
BiLSTM,2,100,25,64,0.003363685915246606,0.0028715464286506176,79.41702961921692
BiLSTM,2,100,50,32,0.0024474128149449825,0.0027736080810427666,148.7401146888733
BiLSTM,2,100,50,64,0.0026812218129634857,0.0034127002581954002,156.61709070205688
BiLSTM,2,150,25,32,0.002721746452152729,0.0027221308555454016,557.6177084445953
BiLSTM,2,150,25,64,0.004260770045220852,0.003830509725958109,218.88154768943787
BiLSTM,2,150,50,32,0.0028926907107234,0.003050835570320487,1061.4195566177368
BiLSTM,2,150,50,64,0.0023224148899316788,0.0030248300172388554,447.06287908554077
BiLSTM,3,50,25,32,0.00458296574652195,0.003850820939987898,49.261417388916016
BiLSTM,3,50,25,64,0.006028370000422001,0.0064514013938605785,46.02620768547058
BiLSTM,3,50,50,32,0.0035690313670784235,0.0036462421994656324,90.59017443656921
BiLSTM,3,50,50,64,0.0038100015372037888,0.003038767259567976,92.95270776748657
BiLSTM,3,100,25,32,0.0033160015009343624,0.00306086428463459,127.66947507858276
BiLSTM,3,100,25,64,0.0049829850904643536,0.0038159857504069805,166.1760048866272
BiLSTM,3,100,50,32,0.004734131507575512,0.005003298632800579,254.8753662109375
BiLSTM,3,100,50,64,0.0030324042309075594,0.004235226660966873,331.2849736213684
BiLSTM,3,150,25,32,0.004181865602731705,0.0053291176445782185,991.3532927036285
BiLSTM,3,150,25,64,0.00451383413746953,0.003417217405512929,364.0690538883209
BiLSTM,3,150,50,32,0.002737480215728283,0.003853690344840288,2048.0552294254303
BiLSTM,3,150,50,64,0.002456498332321644,0.0025213025510311127,711.8180844783783
BiLSTM,4,50,25,32,0.004069253336638212,0.004145593848079443,144.44895434379578
BiLSTM,4,50,25,64,0.004086574539542198,0.0033045466989278793,102.1512143611908
BiLSTM,4,50,50,32,0.002866963157430291,0.0032910569570958614,235.90678691864014
BiLSTM,4,50,50,64,0.002454429166391492,0.002747870981693268,122.49983382225037
BiLSTM,4,100,25,32,0.0029092493932694197,0.0030064035672694445,172.59446096420288
BiLSTM,4,100,25,64,0.004454178269952536,0.0034291211050003767,226.7459681034088
BiLSTM,4,100,50,32,0.0025784741155803204,0.003191421739757061,334.2947590351105
BiLSTM,4,100,50,64,0.002689298475161195,0.0034860107116401196,954.7387664318085
BiLSTM,4,150,25,32,0.00487446878105402,0.0057513052597641945,1795.5204329490662
BiLSTM,4,150,25,64,0.003206297056749463,0.0024044576566666365,753.9880704879761
BiLSTM,4,150,50,32,0.0029409900307655334,0.003024887293577194,3572.986445426941
BiLSTM,4,150,50,64,0.0046610780991613865,0.0065253619104623795,1445.936666727066
